8 0
8 1
8 2
12 3
8 4
9 4
10 4
13 4
7 5
12 5
7 6
11 6
8 7
9 7
10 7
22 8
23 8
20 9
21 9
24 9
7 10
9 10
20 10
21 10
25 10
7 11
9 11
20 11
21 11
7 12
9 12
7 13
9 13
27 13
8 14
9 14
24 14
29 17
32 17
33 18
29 19
40 19
41 19
33 20
40 20
41 20
29 21
30 21
31 21
32 21
28 22
29 23
30 23
30 24
48 27
49 27
48 28
49 28
20 31
21 31
20 32
21 32
43 37
44 37
43 38
44 38
45 38
55 38
56 38
44 39
55 39
57 39
56 40
40 41
34 42
40 42
33 43
35 43
47 43
48 43
49 43
33 44
36 44
46 44
48 44
49 44
23 45
24 45
34 45
35 45
46 45
47 45
22 46
25 46
22 47
23 47
25 47
26 47
25 48
27 48
27 49
28 49
24 50
28 50
24 51
27 51
72 51
73 51
25 52
26 52
27 52
72 52
73 52
61 55
60 56
62 56
47 57
60 57
61 57
46 58
48 58
46 59
47 59
